,مكان الولادة,count,lat,lon
0,ريف دمشق,284,33.45,36.25
1,دمشق,249,33.5138,36.2765
2,درعا,29,32.625,36.105
3,حلب,29,36.2021,37.1343
4,حماه,21,35.1318,36.7578
5,دير الزور,17,35.3333,40.15
6,ادلب,10,35.9306,36.6339
7,حمص,8,34.7308,36.709
8,الرقة,8,35.95,39.01
9,الغزلانية,6,33.405,36.515
10,داريا,5,33.458,36.25
11,الحسكة,4,36.4833,40.75
12,المعضمية,4,33.458,36.23
13,ريف مشق,3,33.45,36.25
14,كفرين,2,33.436,36.358
15,سبينة,2,33.444,36.323
16,سقبا,2,33.533,36.387
17,القابون,2,33.549,36.331
18,ببيلا,1,33.465,36.304
19,العراق,1,,
20,يبرود,1,33.967,36.667
21,حران العواميد,1,33.436,36.583
22,الكريه,1,35.5,36.5
23,كفر سوسة,1,33.487,36.27
24,عين الفيجة,1,33.608,36.165
25,انخل,1,33.017,36.166
26,صيدنايا,1,33.688,36.371
27,حتيتة التركمان,1,33.416,36.422
28,البياض,1,34.75,36.8
29,جبلة,1,35.362,35.927
30,فاطمة,1,34.7,36.7
31,خربة الشياب,1,34.8,36.8
32,دير ماما,1,35.0,36.4
33,مخيم اليرموك,1,33.477,36.299
34,طرطوس,1,34.889,35.8866
35,حمورة,1,33.505,36.392
36,دير عطية,1,34.083,36.733
37,جديدة الخاص,1,33.5,36.4
38,رابية الحباية,1,34.0,36.5
39,المليحة الشرقية,1,33.473,36.407
40,جوبر,1,33.526,36.335
41,دوما,1,33.571,36.403
42,ام ويلات ( سنجار),1,35.0,41.0
43,نجها,1,33.416,36.356
44,ام مويلات,1,35.0,41.0
45,جباب,1,32.9,36.183
46,بيت سحم,1,33.465,36.332
47,معربا,1,33.618,36.298
